23:06:57 0, 62, 145.49, 100 1, 58, 42.48, 0 
23:07:02 0, 62, 178.07, 100 1, 59, 43.20, 0 
23:07:07 0, 62, 171.65, 100 1, 60, 44.38, 84 
23:07:12 0, 62, 180.29, 100 1, 61, 155.33, 100 
23:07:18 0, 62, 159.81, 100 1, 61, 170.59, 100 
23:07:23 0, 61, 141.52, 43 1, 61, 145.96, 100 
23:07:28 0, 61, 43.74, 0 1, 60, 148.26, 62 
23:07:33 0, 61, 179.85, 100 1, 59, 43.20, 0 
23:07:38 0, 61, 157.21, 100 1, 61, 151.71, 100 
23:07:43 0, 62, 157.38, 100 1, 61, 140.02, 100 
23:07:48 0, 62, 148.41, 100 1, 61, 140.45, 100 
23:07:53 0, 62, 147.20, 100 1, 61, 169.28, 100 
23:07:58 0, 62, 135.60, 100 1, 61, 169.53, 100 
23:08:03 0, 62, 149.10, 100 1, 61, 146.98, 100 
23:08:08 0, 62, 175.12, 100 1, 62, 158.46, 100 
23:08:13 0, 63, 140.49, 100 1, 61, 170.13, 100 
23:08:18 0, 62, 147.44, 100 1, 61, 172.75, 100 
23:08:23 0, 62, 144.28, 100 1, 61, 165.37, 100 
23:08:28 0, 61, 157.29, 33 1, 61, 140.53, 100 
23:08:33 0, 61, 45.15, 0 1, 61, 182.64, 100 
23:08:38 0, 63, 46.14, 100 1, 60, 140.00, 0 
23:08:43 0, 63, 151.49, 100 1, 60, 42.96, 0 
23:08:48 0, 63, 163.49, 100 1, 62, 159.26, 100 
23:08:53 0, 63, 183.36, 100 1, 62, 165.28, 100 
23:08:59 0, 61, 148.18, 37 1, 60, 116.40, 39 
23:09:04 0, 61, 167.97, 59 1, 60, 48.46, 65 
23:09:09 0, 60, 137.54, 35 1, 61, 76.21, 40 
23:09:14 0, 57, 44.25, 0 1, 57, 42.03, 0 
23:09:19 0, 55, 30.83, 0 1, 55, 29.59, 0 
23:09:24 0, 54, 30.35, 0 1, 54, 29.13, 0 
23:09:29 0, 53, 30.11, 0 1, 52, 29.13, 0 
23:09:34 0, 52, 29.87, 0 1, 51, 28.63, 0 
23:09:39 0, 51, 29.63, 0 1, 50, 28.41, 0 
23:09:44 0, 50, 29.39, 0 1, 50, 28.16, 0 
23:09:49 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:09:54 0, 49, 29.39, 0 1, 49, 28.17, 0 
23:09:59 0, 49, 29.39, 0 1, 49, 28.17, 0 
23:10:04 0, 49, 29.39, 0 1, 49, 28.16, 0 
23:10:09 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:10:14 0, 49, 29.15, 0 1, 50, 28.16, 0 
23:10:19 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:10:24 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:10:29 0, 49, 29.15, 0 1, 49, 28.16, 0 
